PATIENT_NAME,ECG_P_Onsets,ECG_P_Peaks,ECG_P_Offsets,ECG_Q_Peaks,ECG_R_Onsets,ECG_R_Offsets,ECG_S_Peaks,ECG_T_Onsets,ECG_T_Peaks,ECG_T_Offsets
patient015/s0152lre,57913.496062992126,57970.25196850394,58006.69291338583,57639.4140625,57611.9921875,57767.581712962965,57741.412237497294,57426.040409653855,57558.34645669291,57622.283996683254
patient015/s0047lre,58179.22530864198,58185.34246575343,58277.6450617284,58014.90454545455,57989.83181818182,58123.73888335579,58176.986363636366,58090.765432098764,58185.34246575343,58213.740740740745
patient015/s0057lre,58010.05630751533,58072.96815286624,58107.45222929936,57823.36795561279,57795.51170277231,57938.714433599525,57888.14484547796,57697.42357954546,57759.7770700637,57819.388535031845
patient145/s0201_re,19429.11704681873,19454.558139534885,19536.072629051618,19191.15909090909,19164.75,19410.063159879333,19272.06818181818,19010.791516606645,19127.93023255814,19264.294897959182
patient030/s0099lre,56464.82327253089,56051.479397587376,56541.840191719915,55546.87785118314,55319.1732200393,54552.34602862172,54025.89313470059,56185.86857923154,55696.62357198906,56245.07419816175
patient030/s0117lre,58798.42990654206,58872.28971962617,58903.57943925234,58416.82407407407,58449.45829837221,58506.16207627118,58526.52777777778,58145.9835989836,58178.6261682243,58309.33662162162
patient030/s0107lre,56464.82327253089,56051.479397587376,56541.840191719915,55546.87785118314,55319.1732200393,54552.34602862172,54025.89313470059,56185.86857923154,55696.62357198906,56245.07419816175
patient030/s0153lre,58203.2676056338,58269.68309859155,58311.62676056338,57826.313757585434,57778.95007501876,58059.59527425135,58052.51048951049,57766.36026361569,57844.97183098592,57876.522396925226
patient265/s0501_re,60676.51349527665,60726.04958677686,60797.115702479336,60337.84426229508,60299.65573770492,60556.01118744335,60456.84426229508,60258.58696018893,60714.95041322314,60426.90696693658
patient192/s0048_re,19345.13333333333,19404.256666666664,19435.19111111111,19295.508196721312,19245.00754352031,19418.52055702918,19434.14754098361,19115.17166666666,19208.082777777778,19266.462222222224
patient120/s0331lre,57647.54166666666,57734.333333333336,57767.24305555556,57427.36551724138,57402.09398936649,57517.302789802794,57508.19310344828,57242.68055555556,57342.40972222222,57421.755751092714
patient224/s0447_re,60825.69387755102,60882.39455782313,60914.65986394558,60624.21621621621,60531.4978272929,60861.76765046296,60742.14189189189,60491.462585034016,60591.462585034016,60681.26530612245
patient276/s0526_re,60465.35526315789,60537.26315789474,60569.88157894737,60249.61437908497,60226.90849673202,60347.07843137255,60315.25490196078,60035.71052631579,60135.69736842105,60216.95394736842
patient043/s0144lre,57745.56979268805,57799.608418546006,57829.41647989915,57392.13359278138,57352.97810218978,57494.78108367043,57499.41605839416,57108.40835551197,57205.486937946494,57282.05620535089
patient043/s0278lre,57909.490683229815,57966.07453416149,58010.53416149069,57722.851851851854,57691.11111111111,57871.1599451699,57846.01851851852,57567.3850931677,57666.53416149069,57730.648989899
patient043/s0141lre,58009.99386503067,58054.93251533742,58099.969325153375,57816.506097560974,57789.74390243903,57917.62436767625,57889.78658536585,57714.4710654145,57745.20858895705,57823.76926751592
patient087/s0330lre,57895.05113636364,57945.38068181818,57985.795454545456,57679.59322033898,57664.20933087784,57783.87683393164,57788.5988700565,57525.608479532166,57645.056818181816,57688.355190058486
patient087/s0321lre,58601.79230769231,58656.56923076923,58695.61538461538,58278.28244274809,58290.749448231094,58513.63071321482,58401.23351016799,58239.68461538461,58301.17692307692,58354.66923076923
patient087/s0326lre,58048.95911949685,58083.46952340113,58146.315015723274,57867.578347996096,57874.40652663166,58045.57668711656,58021.32515337423,57765.64229559748,57916.00689169321,57916.421619496854
patient114/s0012_re,19403.25469336671,19458.304347826088,19507.68335419274,19192.55448717949,19083.47406759906,19309.89342948718,19298.17021276596,18938.331247392576,18961.41304347826,19136.915110725142
patient106/s0030_re,15983.76923076923,16073.28205128205,16116.794871794871,16072.05,16031.475,19093.714530892452,16336.65,15973.51282051282,16073.28205128205,16144.76923076923
patient034/s0158lre,57774.680272108846,57830.251700680274,57864.95238095238,57530.01351351351,57498.832746478874,57643.92091936112,57631.01351351351,57330.76190476191,57430.333333333336,57501.96598639456
patient034/s0109lre,57686.11206896552,57747.39224137931,57784.93534482759,57576.46351931331,57557.96566166176,57769.71585497271,57703.05579399141,57577.34051724138,57662.48275862069,57712.91379310345
patient034/s0118lre,58018.04,58072.06857142857,58106.44,57819.15909090909,57841.73114566985,57947.0812232757,57971.53816407779,57967.14417989418,58055.96571428572,58109.05142857143
patient034/s0123lre,58189.29012345679,58247.37654320987,58282.6975308642,57976.74846625767,57950.60993894165,58123.73888335579,58119.26930122117,58131.00617283951,58200.53703703704,58255.55555555556
patient193/s0008_re,19345.13333333333,19256.394736842107,19301.815789473683,19243.666666666668,19245.00754352031,19442.23076923077,19402.28205128205,19092.763157894737,19192.34210526316,19265.394736842107
patient127/s0342lre,57662.698684210525,57734.80263157895,57776.41842105264,57703.90288253663,57681.7037037037,57849.525703324805,57796.13334134038,57482.08874269006,57581.80263157895,57651.18304093568
patient127/s0383lre,58011.25433853119,57990.79763986014,58126.20623742454,57750.76612903226,57722.98387096774,58055.69112133606,58040.32258064516,57500.324317226885,57703.78399725274,57678.95982142857
patient273/s0511_re,59879.48748717949,59937.11415384615,59969.97097435898,59628.94252873564,59659.70366795367,59763.398148148146,59770.06896551724,59467.72656410256,59567.688923076916,59638.46666666666
patient283/s0542_re,61181.80109126984,61247.888392857145,61290.763392857145,61010.77782036095,60991.64235941746,61050.13369467028,61126.019230769234,60732.09226190476,60832.03869047619,60903.65773809524
patient076/s0253lre,58690.39759036145,58744.31325301205,58791.35542168675,58488.03592814371,58440.08836374224,58588.81825239977,58676.87393465909,58388.31325301205,58432.56626506024,58475.98795180723
patient076/s0250lre,58373.04419889503,58431.89502762431,58471.20994475138,58198.61538461538,58290.749448231094,58571.636820180516,58467.89010989011,58351.67955801105,58422.45303867403,58476.80662983425
patient076/s0247lre,57672.90625,57731.984375,57767.046875,57511.90155440415,57569.97566127122,57746.90362403101,57711.78756476684,57371.80105820106,57487.833333333336,57538.80661375662
patient076/s0319lre,57731.40963855421,57786.51807228916,57825.427710843374,57535.16766467066,57595.247645951036,57643.378088235295,57669.071866925064,57416.0421686747,57487.35542168675,57586.09238909239
patient004/s0020bre,58157.71993134254,58199.81168831169,58256.877694351875,57944.53548387097,57913.89677419355,58059.59527425135,58019.6,57743.8534679649,57867.18831168831,57981.138406557904
