PATIENT_NAME,R_PEAK,P_PEAK,T_PEAK,Q_PEAK,S_PEAK
patient227/s0450_re,1589,1063,1830,1496,1651
patient227/s0450_re,3120,2590,3360,3057,3199
patient227/s0450_re,4647,4131,4888,4575,4731
patient227/s0450_re,6167,5652,6408,6104,6243
patient227/s0450_re,7682,7167,7923,7605,7739
patient227/s0450_re,9181,8674,9421,9125,9267
patient227/s0450_re,10667,10164,10906,10595,10737
patient227/s0450_re,12151,11652,12391,12084,12225
patient227/s0450_re,13676,13153,13917,13614,13747
patient227/s0450_re,15193,14682,15433,15117,15267
patient227/s0450_re,16711,16186,16953,16651,16774
patient227/s0450_re,18259,17733,18501,18192,18338
patient227/s0450_re,19788,19263,20029,19718,19878
patient227/s0450_re,21321,20797,21562,21259,21383
patient227/s0450_re,22833,22323,23074,22756,22899
patient227/s0450_re,24352,23838,24594,24300,24408
patient227/s0450_re,25843,25342,26083,25771,25909
patient227/s0450_re,27337,26829,27577,27273,27397
patient227/s0450_re,28846,28338,29086,28782,28920
patient227/s0450_re,30369,29847,30609,30283,30438
patient227/s0450_re,31869,31366,32109,31814,31929
patient227/s0450_re,33368,32860,33609,33282,33438
patient227/s0450_re,34869,34362,35110,34817,34928
patient227/s0450_re,36383,35860,36625,36329,36442
patient227/s0450_re,37916,37399,38160,37828,37992
patient227/s0450_re,39413,38910,39654,39353,39487
patient227/s0450_re,40917,40408,41158,40857,40984
patient227/s0450_re,42386,41896,42627,42315,42449
patient227/s0450_re,43851,43360,44091,43792,43940
patient227/s0450_re,45309,44823,45549,45248,45383
patient227/s0450_re,46786,46287,47026,46692,46864
patient227/s0450_re,48251,47763,48492,48191,48317
patient227/s0450_re,49721,49230,49960,49641,49792
patient227/s0450_re,51158,50686,51397,51093,51214
patient227/s0450_re,52601,52122,52840,52541,52667
patient227/s0450_re,54064,53581,54306,54004,54131
patient227/s0450_re,55511,55027,55752,55451,55571
patient227/s0450_re,56970,56479,57213,56889,57048
patient227/s0450_re,58421,57942,58663,58353,58486
patient227/s0450_re,59896,59403,60139,59828,59950
patient227/s0450_re,61347,60871,61588,61281,61404
patient227/s0450_re,62796,62316,63037,62738,62863
patient227/s0450_re,64228,63757,64470,64168,64301
patient227/s0450_re,65669,65190,65910,65606,65749
patient227/s0450_re,67118,66640,67827,67030,67187
